Split,Client,Loss,Variance,Divergence,R_k,Alpha,RMSE,MAE
0.05,Client_1,0.019253619491181574,5.918042006669566e-06,0.06939671175288302,32.57476493033201,0.5175298583418169,0.1475689560174942,0.10101590305566788
0.05,Client_3,0.018695077500903136,1.0059025953523815e-05,0.09536694256322724,0.6356572036662411,0.05510836850649565,0.14181029796600342,0.09654468297958374
0.05,Client_2,0.019623961736200964,4.050619281770196e-06,0.0695634191589696,26.95668475332818,0.42736176315168745,0.1341409683227539,0.09623809158802032
0.05,Client_1,0.017828239210736545,0.0013081284705549479,0.21307014926735843,2.1132972747884873,0.0681178742210317,0.14600592851638794,0.10098089277744293
0.05,Client_3,0.013410226918572467,0.007234647870063782,0.2883251455745527,0.6272697255649297,0.06469957778092786,0.14055679738521576,0.09675914794206619
0.05,Client_2,0.018305403856279,3.455176192801446e-05,0.07367725510682378,27.656840713176027,0.8671825379980405,0.13298943638801575,0.09650883823633194
0.05,Client_3,0.011945804287380473,0.00876985676586628,0.277005973937256,0.627268590741709,0.06614207340662609,0.14375776052474976,0.10042256116867065
0.05,Client_1,0.016174997313393575,0.005478637292981148,0.26944629329123665,0.03472457190518422,0.003073985343891327,0.1386099010705948,0.09638765454292297
0.05,Client_2,0.017681678124148465,0.00013532821321859956,0.09766149214868035,27.656807589989032,0.9307839312494828,0.13118326663970947,0.09620332717895508
0.05,Client_2,0.016802523863569438,0.0008530428167432547,0.1562142259042178,27.656789010565287,0.929703274514186,0.13447219133377075,0.09450002759695053
0.05,Client_1,0.013957468289159768,0.007694716099649668,0.2510935939582331,0.010871159543323565,0.002271353982552028,0.13927659392356873,0.09833888709545135
0.05,Client_3,0.010455198336611654,0.009039823897182941,0.24903772345611028,0.6840619927693777,0.06802536150326202,0.12732408940792084,0.09443860501050949
0.05,Client_3,0.008364719890857453,0.010205627419054508,0.21086980788303272,34.24825511670563,0.965976882374256,0.11755798757076263,0.09139124304056168
0.05,Client_2,0.013778474517322075,0.007075961213558912,0.23198028574032442,0.5065532706307185,0.014287417531323269,0.12376730889081955,0.09122233837842941
0.05,Client_1,0.01074375977599231,0.009526158683001995,0.21488607528486423,0.6630575937064828,0.019735690094420884,0.12731976807117462,0.09407098591327667
0.05,Client_3,0.00601902516062075,0.010021769441664219,0.14814203857843364,31.793269856220284,0.0724842233827117,0.10574685037136078,0.08052437752485275
