split,client_name,loss,mae,rmse,nrmse,algorithm,round
1.0,Client_3,0.0016150170704349875,0.018546748906373978,0.040187276899814606,0.06624304503202438,RAFedAvg,1
1.0,Client_1,0.0014139235718175769,0.019145827740430832,0.037602175027132034,0.07154321670532227,RAFedAvg,1
1.0,Client_2,0.0011735261650756001,0.017972631379961967,0.034256767481565475,0.05391630530357361,RAFedAvg,1
1.0,Client_1,0.0011609573848545551,0.01732311025261879,0.03407282382249832,0.06482814997434616,RAFedAvg,2
1.0,Client_2,0.0009546312503516674,0.016352886334061623,0.030897106975317,0.04862857609987259,RAFedAvg,2
1.0,Client_3,0.0012309984304010868,0.01679866760969162,0.035085584968328476,0.05783362314105034,RAFedAvg,2
1.0,Client_3,0.0011568475747480989,0.01972726546227932,0.03401246294379234,0.05606473609805107,RAFedAvg,3
1.0,Client_2,0.0009581759222783148,0.019387243315577507,0.03095441684126854,0.04871877655386925,RAFedAvg,3
1.0,Client_1,0.0011393532622605562,0.019874513149261475,0.03375430777668953,0.06422213464975357,RAFedAvg,3
1.0,Client_3,0.0009597521275281906,0.01578041911125183,0.030979866161942482,0.05106592923402786,RAFedAvg,4
1.0,Client_2,0.0008536531822755933,0.015740005299448967,0.029217343777418137,0.045984815806150436,RAFedAvg,4
1.0,Client_1,0.0009958622977137566,0.01608305796980858,0.03155728429555893,0.06004199758172035,RAFedAvg,4
1.0,Client_2,0.0008207634091377258,0.014865831471979618,0.028648968786001205,0.04509025812149048,RAFedAvg,5
1.0,Client_3,0.0009322416153736413,0.015087934210896492,0.030532630160450935,0.05032872408628464,RAFedAvg,5
1.0,Client_1,0.0010255321394652128,0.015746938064694405,0.03202392905950546,0.06092985346913338,RAFedAvg,5
1.0,Client_3,0.0008892195182852447,0.014043242670595646,0.029819782823324203,0.04915369302034378,RAFedAvg,6
1.0,Client_1,0.0009716174681670964,0.014769220724701881,0.031170779839158058,0.05930662155151367,RAFedAvg,6
1.0,Client_2,0.0008172772359102964,0.014112926088273525,0.028588060289621353,0.04499439522624016,RAFedAvg,6
1.0,Client_2,0.0008089866023510695,0.01385126356035471,0.028442690148949623,0.04476559907197952,RAFedAvg,7
1.0,Client_3,0.0009122799965552986,0.0139758987352252,0.03020397201180458,0.04978697746992111,RAFedAvg,7
1.0,Client_1,0.00099731027148664,0.014750754460692406,0.03158021718263626,0.06008563190698624,RAFedAvg,7
1.0,Client_1,0.0009762240224517882,0.015443706884980202,0.031244583427906036,0.059447042644023895,RAFedAvg,8
1.0,Client_3,0.0008747588726691902,0.0148338433355093,0.029576322063803673,0.04875238239765167,RAFedAvg,8
1.0,Client_2,0.0008073351345956326,0.014867333695292473,0.028413642197847366,0.0447198823094368,RAFedAvg,8
1.0,Client_1,0.0009961167816072702,0.015375948511064053,0.031561318784952164,0.06004967540502548,RAFedAvg,9
1.0,Client_3,0.0009138354216702282,0.01476905308663845,0.030229710042476654,0.049829401075839996,RAFedAvg,9
1.0,Client_2,0.0008068682509474456,0.014585365541279316,0.02840542607009411,0.04470694810152054,RAFedAvg,9
1.0,Client_1,0.0010530969593673944,0.015176667831838131,0.03245145455002785,0.06174327805638313,RAFedAvg,10
1.0,Client_3,0.0009310083114542067,0.014063313603401184,0.030512427911162376,0.050295423716306686,RAFedAvg,10
1.0,Client_2,0.0008233943954110146,0.013782373629510403,0.028694849461317062,0.045162469148635864,RAFedAvg,10
1.0,Client_1,0.0009972818661481142,0.014669818803668022,0.031579770147800446,0.06008477881550789,RAFedAvg,11
1.0,Client_3,0.0008826820412650704,0.013731425628066063,0.029709964990615845,0.04897267371416092,RAFedAvg,11
1.0,Client_2,0.0008083411958068609,0.01370911579579115,0.02843134105205536,0.0447477363049984,RAFedAvg,11
1.0,Client_2,0.000820974528323859,0.015154397115111351,0.028652653098106384,0.045096058398485184,RAFedAvg,12
1.0,Client_3,0.0009450744837522507,0.015397212468087673,0.030742062255740166,0.050673943012952805,RAFedAvg,12
1.0,Client_1,0.001018703798763454,0.015966851264238358,0.03191713988780975,0.060726672410964966,RAFedAvg,12
1.0,Client_2,0.0008722000056877732,0.014667714014649391,0.029533032327890396,0.046481676399707794,RAFedAvg,13
1.0,Client_1,0.0011222678003832698,0.01639777421951294,0.033500269055366516,0.06373878568410873,RAFedAvg,13
1.0,Client_3,0.001012747292406857,0.015255080536007881,0.031823690980672836,0.05245685204863548,RAFedAvg,13
1.0,Client_3,0.0008785384707152843,0.014754616655409336,0.02964014932513237,0.04885759577155113,RAFedAvg,14
1.0,Client_2,0.0008179802680388093,0.014855446293950081,0.028600353747606277,0.04501374438405037,RAFedAvg,14
1.0,Client_1,0.0009672074229456484,0.015349962748587132,0.031099958345294,0.059171874076128006,RAFedAvg,14
1.0,Client_2,0.0008041962864808738,0.01428341493010521,0.028358355164527893,0.044632866978645325,RAFedAvg,15
1.0,Client_3,0.0008942993590608239,0.014428987167775631,0.029904838651418686,0.04929389804601669,RAFedAvg,15
1.0,Client_1,0.001009152503684163,0.015237338840961456,0.03176715970039368,0.06044131517410278,RAFedAvg,15
1.0,Client_2,0.0008230365347117186,0.015124439261853695,0.028688613325357437,0.04515265300869942,RAFedAvg,16
1.0,Client_3,0.000946682586800307,0.015381122007966042,0.03076820820569992,0.05071704089641571,RAFedAvg,16
1.0,Client_1,0.001029048697091639,0.01602044701576233,0.03207878768444061,0.06103422865271568,RAFedAvg,16
1.0,Client_1,0.00097431312315166,0.015018375590443611,0.031213989481329918,0.05938883498311043,RAFedAvg,17
1.0,Client_3,0.0008792854496277869,0.014358500950038433,0.029652750119566917,0.04887836426496506,RAFedAvg,17
1.0,Client_2,0.0007993076578713953,0.01432807371020317,0.028272029012441635,0.04449699819087982,RAFedAvg,17
1.0,Client_3,0.0008925278089009225,0.014073499478399754,0.029875202104449272,0.049245044589042664,RAFedAvg,18
1.0,Client_1,0.0009882539743557572,0.01486846711486578,0.031436506658792496,0.05981220304965973,RAFedAvg,18
1.0,Client_2,0.0007979274960234761,0.013950028456747532,0.028247611597180367,0.04445856809616089,RAFedAvg,18
1.0,Client_3,0.0008421725360676646,0.013557001948356628,0.02902020886540413,0.047835711389780045,RAFedAvg,19
1.0,Client_1,0.0009692236199043691,0.014583512209355831,0.031132355332374573,0.05923351272940636,RAFedAvg,19
1.0,Client_2,0.0008049267926253378,0.013794233091175556,0.028371233493089676,0.044653136283159256,RAFedAvg,19
1.0,Client_1,0.0009638036717660725,0.014569551683962345,0.03104518912732601,0.05906766653060913,RAFedAvg,20
1.0,Client_3,0.000899086648132652,0.013904646970331669,0.029984772205352783,0.04942565783858299,RAFedAvg,20
1.0,Client_2,0.0007986656855791807,0.013823694549500942,0.028260674327611923,0.0444791279733181,RAFedAvg,20
1.0,Client_2,0.0008079471299424767,0.014377553947269917,0.02842441014945507,0.0447368286550045,RAFedAvg,21
1.0,Client_3,0.0009409438353031874,0.01458487007766962,0.030674807727336884,0.050563082098960876,RAFedAvg,21
1.0,Client_1,0.0009728544973768294,0.015083899721503258,0.03119061514735222,0.05934435874223709,RAFedAvg,21
1.0,Client_2,0.0007986838463693857,0.013783799484372139,0.02826099470257759,0.04447963088750839,RAFedAvg,22
1.0,Client_3,0.0008948261965997517,0.013896866701543331,0.02991364896297455,0.0493084192276001,RAFedAvg,22
1.0,Client_1,0.0009913567919284105,0.014794082380831242,0.031485818326473236,0.05990602448582649,RAFedAvg,22
1.0,Client_2,0.0008079743129201233,0.014195984229445457,0.028424888849258423,0.04473758116364479,RAFedAvg,23
1.0,Client_1,0.0009300402016378939,0.014557580463588238,0.030496560037136078,0.05802382528781891,RAFedAvg,23
1.0,Client_3,0.0008632498793303967,0.014065243303775787,0.02938111498951912,0.04843061417341232,RAFedAvg,23
1.0,Client_2,0.0008039762615226209,0.01478498987853527,0.028354475274682045,0.04462675750255585,RAFedAvg,24
1.0,Client_1,0.0009879459394142032,0.015550234355032444,0.03143160790205002,0.05980288237333298,RAFedAvg,24
1.0,Client_3,0.0009052520035766065,0.014920726418495178,0.030087407678365707,0.04959483444690704,RAFedAvg,24
1.0,Client_1,0.00099498953204602,0.015342622995376587,0.03154345601797104,0.060015689581632614,RAFedAvg,25
1.0,Client_3,0.0008962721331045032,0.014308501034975052,0.029937805607914925,0.04934823885560036,RAFedAvg,25
1.0,Client_2,0.000815020699519664,0.014227165840566158,0.02854856662452221,0.04493223875761032,RAFedAvg,25
1.0,Client_2,0.0008122411090880632,0.014164138585329056,0.028499843552708626,0.04485555365681648,RAFedAvg,26
1.0,Client_1,0.000973746064119041,0.015082803554832935,0.03120490536093712,0.059371549636125565,RAFedAvg,26
1.0,Client_3,0.0008242839248850942,0.01379966177046299,0.028710344806313515,0.04732494428753853,RAFedAvg,26
1.0,Client_1,0.0009391286293976009,0.014456532895565033,0.030645204707980156,0.05830664187669754,RAFedAvg,27
1.0,Client_2,0.0008035872597247362,0.013920607976615429,0.028347615152597427,0.044615961611270905,RAFedAvg,27
1.0,Client_3,0.0008352366858161986,0.013668126426637173,0.02890046127140522,0.04763832315802574,RAFedAvg,27
1.0,Client_1,0.0009659946081228554,0.014494494535028934,0.0310804545879364,0.05913476645946503,RAFedAvg,28
1.0,Client_3,0.0008920582477003336,0.013725739903748035,0.029867345467209816,0.04923209547996521,RAFedAvg,28
1.0,Client_2,0.0007969067082740366,0.013638146221637726,0.02822953648865223,0.044430118054151535,RAFedAvg,28
1.0,Client_2,0.0007966893026605248,0.013859692960977554,0.02822568453848362,0.04442405700683594,RAFedAvg,29
1.0,Client_3,0.0008654706180095673,0.013745865784585476,0.029418880119919777,0.04849286377429962,RAFedAvg,29
1.0,Client_1,0.000930550042539835,0.014329777099192142,0.030504919588565826,0.05803973227739334,RAFedAvg,29
1.0,Client_2,0.0008167749620042741,0.013898646458983421,0.02857927419245243,0.04498056694865227,RAFedAvg,30
1.0,Client_1,0.0010166586143895984,0.015189860947430134,0.03188508376479149,0.06066568195819855,RAFedAvg,30
1.0,Client_3,0.000921508064493537,0.014179538935422897,0.030356351286172867,0.05003815144300461,RAFedAvg,30
