Round,Loss
1,0.010469097479334997
2,0.0036647448949351565
3,0.002861508173058306
4,0.0027316712484074233
5,0.0028070657194484345
6,0.002707124961145829
7,0.0027123656036986674
8,0.002761667076717109
9,0.0025923921903932916
10,0.0026903914147295405
11,0.0027484325080097305
12,0.002644019902596379
13,0.002545056158805695
14,0.002610087545519316
15,0.0025678882014700667
16,0.002609950218419506
17,0.0026369585653835403
18,0.002579206281059519
19,0.0025671373455974553
20,0.0025474327575970507
21,0.0025724623872201936
22,0.002653870095521623
23,0.002539843349542542
24,0.0026285480513192805
25,0.002538118407255584
26,0.0026048919163966853
27,0.002558976840615559
28,0.002527016697285957
29,0.002595543493136108
30,0.002518918359855639
1,0.00888281221785874
2,0.004199885138332041
3,0.0036887028482160415
4,0.003489592589871799
5,0.0034301448592686788
6,0.003340645112437456
7,0.0033399204949027335
8,0.0032722097538751154
9,0.003290053930502978
10,0.003203221156454441
11,0.003190575368496628
12,0.003181157331442608
13,0.003216340991103461
14,0.0031377203478114043
15,0.0032480384778896514
16,0.003103010955636795
17,0.003078098458308892
18,0.003144993234121481
19,0.003126441686233491
20,0.0031454266720794695
21,0.0031062577218137102
22,0.0031476923327917925
23,0.0031011058614124633
24,0.0030751478451651096
25,0.003278855126414543
26,0.0031603070339947053
27,0.003174381911663184
28,0.003113853959520399
29,0.003240519380288317
30,0.003059771629699577
