Round,Loss
1,0.012840448234832134
2,0.0038822901767741488
3,0.003517456890410884
4,0.0031208033122928657
5,0.002932378708757491
6,0.0027591028190195044
7,0.0026600633513253476
8,0.00258000323628035
9,0.0026106256297345055
10,0.002618898889946941
11,0.002648812679085448
12,0.002587763602955336
13,0.0025496074844808016
14,0.002523299653471681
15,0.002554952385856397
16,0.0026175016925963804
17,0.0024899772469046595
18,0.002581590023488036
19,0.002604472588407195
20,0.0025341886288385396
21,0.0024886864673001065
22,0.0025350953132259537
23,0.0028647462814655983
24,0.0026052149765189506
25,0.0025047415159266903
26,0.002473147150993344
27,0.002485030798143956
28,0.0024902219369993517
29,0.0025123587620914183
30,0.0024758915773002792
1,0.006032457944356507
2,0.0032164690417502196
3,0.0031829085382658238
4,0.003060113267599791
5,0.0032120619439864454
6,0.003026573824429121
7,0.0029910433311136687
8,0.003037278500455397
9,0.002980745869144265
10,0.0030374528558086943
11,0.003100184969768108
12,0.0031022759437780174
13,0.002977703295065129
14,0.003023988322087775
15,0.0029559142860400554
16,0.003023002938014739
17,0.0029458658467639265
18,0.003033707626555827
19,0.002968284087063609
20,0.002937338254914481
21,0.0030721034327866985
22,0.0030647161414962347
23,0.0030824748115373356
24,0.00301242514296803
25,0.0029517119878809607
26,0.0029410143077403766
27,0.0029416100829609414
28,0.0030115096101996142
29,0.0029437559860292593
30,0.002965351936901833
1,0.005680403004501919
2,0.003303264213422051
3,0.0033174621072830576
4,0.003076479596973514
5,0.0030574071406304355
6,0.0029793734006867633
7,0.003058746576084169
8,0.003022209295367666
9,0.003137992382048819
10,0.003015891274470425
11,0.0029383393908121096
12,0.00294412992594636
13,0.0030287177559591813
14,0.003130428834233022
15,0.002963513888583253
16,0.0030684343068147404
17,0.003032682728156006
18,0.0030816958344193263
19,0.0029693472912638557
20,0.0029901051371827234
21,0.0030820132978004507
22,0.00301440276279798
23,0.002958020588811906
24,0.0029476351954406785
25,0.0030273233896775577
26,0.0029268246450571186
27,0.002998669861034022
28,0.0029253039080351147
29,0.0030110844206496013
30,0.003018192668852929
