Alpha,Round,Client,Loss,Samples,RMSE,MAE,NRMSE,Algorithm
0.3,18,Client_1,0.0034191750659711253,22407,0.05139851197600365,0.028529077768325806,0.09457364678382874,FedProx
0.3,19,Client_1,0.0026872500148614775,22407,0.04346601665019989,0.023328684270381927,0.062490515410900116,FedProx
0.3,19,Client_2,0.0028327088586813853,14451,0.040929730981588364,0.022393465042114258,0.07531101256608963,FedProx
0.3,19,Client_3,0.0025557160465020413,27939,0.04184764623641968,0.022477829828858376,0.06897023320198059,FedProx
0.3,20,Client_3,0.0017706644581100726,27939,0.03983842581510544,0.018908893689513206,0.05727517604827881,FedProx
0.3,20,Client_1,0.0018907445117632387,22407,0.036862947046756744,0.01798788271844387,0.06782809644937515,FedProx
0.3,20,Client_2,0.0020343447903868727,14451,0.03740014508366585,0.01804216206073761,0.061640188097953796,FedProx
0.3,21,Client_1,0.0016127613908654957,22407,0.03531264513731003,0.018062518909573555,0.058199722319841385,FedProx
0.3,21,Client_3,0.0016400229604348901,27939,0.03805636614561081,0.018903998658061028,0.054713133722543716,FedProx
0.3,21,Client_2,0.0017310114831949885,14451,0.035037022083997726,0.01820581592619419,0.0644683837890625,FedProx
0.3,22,Client_1,0.0016444484378486204,22407,0.03654542192816734,0.019107956439256668,0.06724385172128677,FedProx
0.3,22,Client_2,0.0016968749576666926,14451,0.039778586477041245,0.019983552396297455,0.05718914419412613,FedProx
0.3,22,Client_3,0.001614754484554926,27939,0.03692226484417915,0.019009491428732872,0.06085258349776268,FedProx
0.3,23,Client_3,0.0015869622055497195,27939,0.03989756107330322,0.02056114561855793,0.057360194623470306,FedProx
0.3,23,Client_1,0.0015740993623014762,22407,0.03690887987613678,0.01956038549542427,0.06083052232861519,FedProx
0.3,23,Client_2,0.0016525171066080085,14451,0.03658447787165642,0.019689973443746567,0.0673157125711441,FedProx
0.3,24,Client_3,0.0015327096990887734,27939,0.038674887269735336,0.02128666080534458,0.05560237169265747,FedProx
0.3,24,Client_2,0.0016300183460010369,14451,0.03569797798991203,0.020841872319579124,0.06568454951047897,FedProx
0.3,24,Client_1,0.0015136113705540453,22407,0.0357353612780571,0.02039526402950287,0.05889641493558884,FedProx
0.3,25,Client_1,0.0015585068135974256,22407,0.034690406173467636,0.017287807539105415,0.06383060663938522,FedProx
0.3,25,Client_3,0.0015085471047198208,27939,0.03482687473297119,0.017088335007429123,0.05739911273121834,FedProx
0.3,25,Client_2,0.0016582095277524632,14451,0.037944819778203964,0.017978329211473465,0.05455276370048523,FedProx
0.3,26,Client_3,0.0015600125477169843,27939,0.034827183932065964,0.01658860221505165,0.05739962309598923,FedProx
0.3,26,Client_2,0.0016480157223729643,14451,0.03806905075907707,0.01755375787615776,0.05473136901855469,FedProx
0.3,26,Client_1,0.0015385563790043335,22407,0.03470543771982193,0.016822442412376404,0.063858263194561,FedProx
0.3,27,Client_3,0.001504720061686194,27939,0.034615062177181244,0.017322808504104614,0.06369197368621826,FedProx
0.3,27,Client_2,0.0016512494740785991,14451,0.037929635494947433,0.017987187951803207,0.05453093349933624,FedProx
0.3,27,Client_1,0.0014818959609016469,22407,0.03467629849910736,0.017071500420570374,0.0571509450674057,FedProx
0.3,28,Client_3,0.0014897713000197993,27939,0.035293132066726685,0.017127860337495804,0.06493962556123734,FedProx
0.3,28,Client_2,0.001629451714271699,14451,0.03859757259488106,0.0179747324436903,0.055491216480731964,FedProx
0.3,28,Client_1,0.0015092191638803928,22407,0.035524506121873856,0.01697617582976818,0.05854889750480652,FedProx
0.3,29,Client_3,0.0014838444400734796,27939,0.034594181925058365,0.01750856451690197,0.06365355104207993,FedProx
0.3,29,Client_1,0.0014764203826273905,22407,0.03470255061984062,0.017311137169599533,0.05719421058893204,FedProx
0.3,29,Client_2,0.001603023538883294,14451,0.03782990202307701,0.01823117583990097,0.054387547075748444,FedProx
0.3,30,Client_3,0.001458046194227258,27939,0.0348270945250988,0.018199723213911057,0.06408211588859558,FedProx
0.3,30,Client_2,0.0015482927269068157,14451,0.03467071056365967,0.0177695881575346,0.0571417361497879,FedProx
0.3,30,Client_1,0.0014484252918360273,22407,0.03824619948863983,0.01879608817398548,0.054986052215099335,FedProx
