Round,Loss
1,0.009174770535075356
2,0.0037411015474842053
3,0.0029918370486877893
4,0.00276395550360592
5,0.002762979277377472
6,0.0028105246729054367
7,0.0026686753039136045
8,0.002632499467878316
9,0.00278503635959788
10,0.002654461210628548
11,0.002640613564341027
12,0.0026254958636088444
13,0.002532777092486069
14,0.0025705766105067846
15,0.0026213505077079557
16,0.0026695701378049146
17,0.002564555886328332
18,0.00254776927994369
19,0.0025360293171600864
20,0.002532941164614402
21,0.002680745805243313
22,0.0026151071311063066
23,0.0025281114198336865
24,0.0024992989548163775
25,0.002500910623973274
26,0.0025184951480527735
27,0.0025234116242410635
28,0.0026427518115700187
29,0.0025591889780862756
30,0.0026385532709195646
