Alpha,Round,Client,Loss,Samples,RMSE,MAE,NRMSE,Algorithm
0.3,1,Client_3,0.001695953458348876,27939,0.03590529039502144,0.023517176508903503,0.06606600433588028,FedNova
0.3,1,Client_1,0.0018080668306494354,22407,0.03988589718937874,0.024575291201472282,0.05734342336654663,FedNova
0.3,1,Client_2,0.0020474614283063144,14451,0.033836059272289276,0.02257121354341507,0.05576612427830696,FedNova
0.3,2,Client_1,0.0011105223616986093,22407,0.03984520956873894,0.024530552327632904,0.05728492885828018,FedNova
0.3,2,Client_2,0.0011090115045434886,14451,0.03587240353226662,0.02347465790808201,0.06600549072027206,FedNova
0.3,2,Client_3,0.0010536533481545385,27939,0.03380030393600464,0.022530140355229378,0.05570719391107559,FedNova
0.3,3,Client_2,0.0010875138046943923,14451,0.039799511432647705,0.024478331208229065,0.05721922963857651,FedNova
0.3,3,Client_3,0.0010394646472797209,27939,0.03375978395342827,0.02248179353773594,0.055640410631895065,FedNova
0.3,3,Client_1,0.0011024481640434527,22407,0.03583512082695961,0.023424813523888588,0.06593689322471619,FedNova
0.3,4,Client_1,0.0010924256508792751,22407,0.033713433891534805,0.0224233977496624,0.055564019829034805,FedNova
0.3,4,Client_2,0.001120816075645267,14451,0.03579234704375267,0.023365164175629616,0.06585818529129028,FedNova
0.3,4,Client_3,0.0010371459333220522,27939,0.039749011397361755,0.02441623993217945,0.05714662745594978,FedNova
0.3,5,Client_3,0.0010212463300256222,27939,0.039694271981716156,0.0243547260761261,0.05706792697310448,FedNova
0.3,5,Client_2,0.0010967923227240214,14451,0.03574766963720322,0.023306624963879585,0.06577598303556442,FedNova
0.3,5,Client_1,0.0011252443332814073,22407,0.033666711300611496,0.022368310019373894,0.0554870143532753,FedNova
0.3,6,Client_1,0.0011034391285651552,22407,0.03570292890071869,0.023244932293891907,0.06569365411996841,FedNova
0.3,6,Client_2,0.0011135860521287839,14451,0.03964073956012726,0.024290336295962334,0.05699096620082855,FedNova
0.3,6,Client_3,0.0010299863056661709,27939,0.03361900895833969,0.022308461368083954,0.05540839582681656,FedNova
0.3,7,Client_1,0.0011182422160238967,22407,0.035664189606904984,0.023196803405880928,0.06562237441539764,FedNova
0.3,7,Client_3,0.0010209390731487614,27939,0.03959067538380623,0.024239270016551018,0.05691898986697197,FedNova
0.3,7,Client_2,0.0011085544413808144,14451,0.033578500151634216,0.022263940423727036,0.055341631174087524,FedNova
0.3,8,Client_3,0.001039722210805695,27939,0.03353045508265495,0.022204486653208733,0.055262450128793716,FedNova
0.3,8,Client_2,0.0011040728951431415,14451,0.03561914712190628,0.02313484065234661,0.06553950160741806,FedNova
0.3,8,Client_1,0.0011052992054620828,22407,0.03953685984015465,0.024175338447093964,0.056841619312763214,FedNova
0.3,9,Client_3,0.0010320658738880498,27939,0.039484839886426926,0.024115320295095444,0.05676683038473129,FedNova
0.3,9,Client_1,0.0011267943372243953,22407,0.033484671264886856,0.02214890532195568,0.05518699064850807,FedNova
0.3,9,Client_2,0.001146090500768234,14451,0.03557639569044113,0.023076919838786125,0.06546083837747574,FedNova
0.3,10,Client_1,0.0010970301437433034,22407,0.035532042384147644,0.02301543951034546,0.06537922471761703,FedNova
0.3,10,Client_3,0.0010410412530346166,27939,0.03343825414776802,0.022089961916208267,0.05511048808693886,FedNova
0.3,10,Client_2,0.001110904210523823,14451,0.039432018995285034,0.024051809683442116,0.05669089034199715,FedNova
0.3,11,Client_1,0.0011297516960267367,22407,0.035501737147569656,0.0229767058044672,0.06532346457242966,FedNova
