Client,Split,Algorithm,MAE,RMSE,NRMSE
1,0.01,FedAvg,0.007464421465289108,0.08639688342347257,0.08639688342347257
2,0.01,FedAvg,0.008200856811888747,0.09055858221001888,0.09055858221001888
3,0.01,FedAvg,0.005469156424945073,0.07395374517186451,0.07395374517186451
1,0.1,FedAvg,0.0016056804908605893,0.04007094322399448,0.04007094322399448
2,0.1,FedAvg,0.0016929298253910905,0.04114522846444154,0.04114522846444154
3,0.1,FedAvg,0.0007260415129166028,0.02694515750402292,0.02694515750402292
1,0.5,FedAvg,0.0018395780968057038,0.04289030306264697,0.04289030306264697
2,0.5,FedAvg,0.0016696408690456785,0.0408612392010531,0.0408612392010531
3,0.5,FedAvg,0.0021702946331815286,0.04658642112441702,0.04658642112441702
1,1.0,FedAvg,0.0020635031870772044,0.045425798694983935,0.045425798694983935
2,1.0,FedAvg,0.001989660224094217,0.04460560754091594,0.04460560754091594
3,1.0,FedAvg,0.0019563196985464782,0.04423030294432176,0.04423030294432176
1,0.01,FedProx,0.04472009092569351,0.06396077776500213,0.13430135196878018
2,0.01,FedProx,0.0258798711001873,0.03451228275442692,0.16340641846798246
3,0.01,FedProx,0.043080952018499374,0.056905300706971855,0.24975857593850048
1,0.1,FedProx,0.045735619962215424,0.06784436159130598,0.11972445070867054
2,0.1,FedProx,0.04212682694196701,0.06780775462853807,0.09427262993049396
3,0.1,FedProx,0.044187240302562714,0.05912492905039391,0.17904969722307537
1,0.5,FedProx,0.052042726427316666,0.07729767898683539,0.11502086167213431
2,0.5,FedProx,0.03530639782547951,0.04895778606663541,0.10232900168943009
3,0.5,FedProx,0.03302014246582985,0.04065716300169381,0.13370031508928795
1,1.0,FedProx,0.05206582695245743,0.07584110911765464,0.08683825598971902
2,1.0,FedProx,0.03340785205364227,0.043616872868931074,0.12565641752878237
3,1.0,FedProx,0.02971792407333851,0.04052289685590466,0.06922381971187992
