Client,Split,Algorithm,MAE,RMSE,NRMSE
2,0.2,FedAvg,0.013515014201402664,0.028837865218520164,0.04737728461623192
3,0.2,FedAvg,0.013079284690320492,0.026619793847203255,0.05063222348690033
1,0.2,FedNova,0.028010524809360504,0.049505624920129776,0.085670605301857
2,0.2,FedNova,0.025536149740219116,0.038947757333517075,0.06398666650056839
3,0.2,FedNova,0.024460695683956146,0.0326593741774559,0.06211981549859047
1,0.2,FedProx,0.023255418986082077,0.04782407730817795,0.08276064693927765
2,0.2,FedProx,0.02124391682446003,0.03728659451007843,0.06125757098197937
3,0.2,FedProx,0.01996184140443802,0.03126036375761032,0.05945882573723793
1,0.2,RAFedAvg,0.014749681577086449,0.03346904739737511,0.05791894346475601
2,0.2,RAFedAvg,0.013735956512391567,0.02983643114566803,0.04901781305670738
3,0.2,RAFedAvg,0.013623790815472603,0.027858242392539978,0.05298781767487526
1,0.3,FedAvg,0.01456406805664301,0.03320768475532532,0.047742247581481934
2,0.3,FedAvg,0.012614713050425053,0.026988999918103218,0.0444812998175621
3,0.3,FedAvg,0.013684205710887909,0.029420940205454826,0.05413474887609482
1,0.3,FedNova,0.023159340023994446,0.03863668069243431,0.05554744228720665
2,0.3,FedNova,0.021270545199513435,0.0327618233859539,0.05399564653635025
3,0.3,FedNova,0.022152813151478767,0.03489828482270241,0.0642131045460701
1,0.3,FedProx,0.01879608817398548,0.03824619948863983,0.054986052215099335
2,0.3,FedProx,0.0177695881575346,0.03467071056365967,0.0571417361497879
3,0.3,FedProx,0.018199723213911057,0.0348270945250988,0.06408211588859558
1,0.3,RAFedAvg,0.01477961614727974,0.032823286950588226,0.04718960449099541
2,0.3,RAFedAvg,0.013039532117545605,0.027467330917716026,0.04526964947581291
3,0.3,RAFedAvg,0.013875652104616165,0.029939699918031693,0.05508927255868912
1,0.5,FedAvg,0.01418850664049387,0.033763185143470764,0.033763185143470764
2,0.5,FedAvg,0.013658762909471989,0.027740731835365295,0.046295393258333206
3,0.5,FedAvg,0.014236900955438614,0.03118639811873436,0.05410038307309151
1,0.5,FedNova,0.030308054760098457,0.05137605220079422,0.05137605220079422
2,0.5,FedNova,0.03252758830785751,0.053069133311510086,0.08856493979692459
3,0.5,FedNova,0.029936667531728745,0.04709737002849579,0.08170183002948761
1,0.5,FedProx,0.017367469146847725,0.04005030542612076,0.04005030542612076
2,0.5,FedProx,0.016046319156885147,0.03158817067742348,0.05271622911095619
3,0.5,FedProx,0.017069408670067787,0.036613207310438156,0.06351450085639954
1,0.5,RAFedAvg,0.014407439157366753,0.03241695836186409,0.03241695836186409
2,0.5,RAFedAvg,0.01375463604927063,0.028413282707333565,0.047417785972356796
3,0.5,RAFedAvg,0.014291017316281796,0.03174590319395065,0.05507098138332367
1,1.0,FedAvg,0.014748325571417809,0.031183727085590363,0.0593312568962574
2,1.0,FedAvg,0.0141068734228611,0.028704972937703133,0.045178402215242386
3,1.0,FedAvg,0.013420728966593742,0.028623072430491447,0.047181084752082825
1,1.0,FedNova,0.025218147784471512,0.042851366102695465,0.08153051882982254
2,1.0,FedNova,0.02349165268242359,0.03888888657093048,0.06120673939585686
3,1.0,FedNova,0.024212924763560295,0.04534006491303444,0.07473668456077576
1,1.0,FedProx,0.01786288246512413,0.03763025254011154,0.07159663736820221
2,1.0,FedProx,0.016797443851828575,0.03479291871190071,0.054760146886110306
3,1.0,FedProx,0.017635026946663857,0.04107976332306862,0.06771417707204819
1,1.0,RAFedAvg,0.015189860947430134,0.03188508376479149,0.06066568195819855
2,1.0,RAFedAvg,0.013898646458983421,0.02857927419245243,0.04498056694865227
3,1.0,RAFedAvg,0.014179538935422897,0.030356351286172867,0.05003815144300461
