Round,Loss
1,0.012840448234832134
2,0.0038822901767741488
3,0.003517456890410884
4,0.0031208033122928657
5,0.002932378708757491
6,0.0027591028190195044
7,0.0026600633513253476
8,0.00258000323628035
9,0.0026106256297345055
10,0.002618898889946941
11,0.002648812679085448
12,0.002587763602955336
13,0.0025496074844808016
14,0.002523299653471681
15,0.002554952385856397
16,0.0026175016925963804
17,0.0024899772469046595
18,0.002581590023488036
19,0.002604472588407195
20,0.0025341886288385396
21,0.0024886864673001065
22,0.0025350953132259537
23,0.0028647462814655983
24,0.0026052149765189506
25,0.0025047415159266903
26,0.002473147150993344
27,0.002485030798143956
28,0.0024902219369993517
29,0.0025123587620914183
30,0.0024758915773002792
