Split,Client,Loss,Variance,Divergence,R_k,Alpha,RMSE,MAE
0.05,Client_1,0.020258508415607602,0.00014004477998241782,0.963480040408053,24.514689707079533,0.7639437270730219,0.13803477585315704,0.09934993833303452
0.05,Client_3,0.003744966431616893,0.0151021433994174,4.189435392685785,0.01873786509881872,0.04562906025689219,0.1336425393819809,0.09592491388320923
0.05,Client_2,0.024917685338092924,4.094088581041433e-06,0.46332618348201154,6.104594397327275,0.19042720267008592,0.12669377028942108,0.09584619104862213
0.05,Client_3,0.002974964764421131,0.013105028308928013,3.504246898286406,0.3151015580990247,0.09172144948807626,0.12194529175758362,0.09242033958435059
0.05,Client_2,0.012673092529934158,0.004597980063408613,0.5213532823272323,6.104611454201954,0.9049203010535197,0.13289111852645874,0.09581515938043594
0.05,Client_1,0.006652602595308954,0.01645011454820633,0.8728685946222158,0.009802882824775186,0.003358239458404115,0.12854506075382233,0.09231196343898773
0.05,Client_2,0.009878968890795354,0.0127933444455266,0.5359790757727522,6.1046235427103275,0.908423896961924,0.12073662132024765,0.08576255291700363
0.05,Client_1,0.0064812653789759565,0.016114944592118263,0.7422103718209597,0.006302365669895538,0.0028433357452660657,0.1146673932671547,0.08619079738855362
0.05,Client_3,0.002872107787213602,0.015200742520391941,3.468702815390264,0.29378720651146667,0.08873275729281,0.12530407309532166,0.08967623859643936
0.05,Client_1,0.00476499611400759,0.018565615639090538,0.6819899741212431,0.6866197588793211,0.0034879417348822024,0.11231184750795364,0.0818854346871376
0.05,Client_2,0.007415890260815806,0.020359713584184647,0.50484521291746,0.00027715698980094794,0.0006669168526752098,0.10877732187509537,0.07877197861671448
0.05,Client_3,0.0028391216110666283,0.016069186851382256,3.3279285936660687,412.72621279182925,0.9958451314124427,0.10342702269554138,0.0793224647641182
0.05,Client_2,0.005443020647117785,0.023481804877519608,0.4254804676286502,0.000277155828134879,0.0006667814521968796,0.09743607044219971,0.06838972121477127
0.05,Client_3,0.00262104089265604,0.015366547740995884,2.891778675902486,412.7262138493029,0.7942176909151156,0.09244910627603531,0.06911750137805939
0.05,Client_1,0.0038977882387771024,0.015779532492160797,0.6085254093276874,111.95015867392098,0.2051155176326877,0.10063157975673676,0.07182786613702774
0.05,Client_3,0.0025233352588812257,0.020452426746487617,2.551846807463344,0.018738042040058217,0.04518416449982177,0.08911682665348053,0.060899071395397186
0.05,Client_2,0.004303908666289269,0.019454872235655785,0.33729476098359196,0.0013752370730213783,0.0006763749802417144,0.08469228446483612,0.061894599348306656
0.05,Client_1,0.0034252133961910763,0.01422467827796936,0.542102554026673,129.7015406807807,0.9541394505199366,0.09225981682538986,0.06475912779569626
0.05,Client_1,0.003265771268923344,0.017763976007699966,0.5094133804771926,0.001359622589334883,0.0021175822220002075,0.078122079372406,0.05657132714986801
0.05,Client_3,0.0025522893170666612,0.017772994935512543,2.4207244185469823,0.01873821157545048,0.04796020826803316,0.084693044424057,0.05922546982765198
