Client,Split,Algorithm,MAE,RMSE,NRMSE
1,0.01,FedAvg,0.007464421465289108,0.08639688342347257,0.08639688342347257
2,0.01,FedAvg,0.008200856811888747,0.09055858221001888,0.09055858221001888
3,0.01,FedAvg,0.005469156424945073,0.07395374517186451,0.07395374517186451
1,0.1,FedAvg,0.0016056804908605893,0.04007094322399448,0.04007094322399448
2,0.1,FedAvg,0.0016929298253910905,0.04114522846444154,0.04114522846444154
3,0.1,FedAvg,0.0007260415129166028,0.02694515750402292,0.02694515750402292
1,0.5,FedAvg,0.0018395780968057038,0.04289030306264697,0.04289030306264697
2,0.5,FedAvg,0.0016696408690456785,0.0408612392010531,0.0408612392010531
3,0.5,FedAvg,0.0021702946331815286,0.04658642112441702,0.04658642112441702
1,1.0,FedAvg,0.0020635031870772044,0.045425798694983935,0.045425798694983935
2,1.0,FedAvg,0.001989660224094217,0.04460560754091594,0.04460560754091594
3,1.0,FedAvg,0.0019563196985464782,0.04423030294432176,0.04423030294432176
1,0.01,FedNova,0.30031833379663864,0.30031833379663864,30031833.379663862
2,0.01,FedNova,0.00011404939141357318,0.00011404939141357318,11404.939141357318
3,0.01,FedNova,0.11635468154872888,0.17929584206094093,0.17929584026798254
1,0.1,FedNova,0.11526004090427121,0.1774221990878836,0.17742219731366163
2,0.1,FedNova,0.11546603251249384,0.17838843896407333,0.2800845577570407
3,0.1,FedNova,0.11829003972633165,0.18287653797908268,0.18287653615031732
1,0.5,FedNova,0.11662410180967792,0.18043468796750217,0.18043468616315533
2,0.5,FedNova,0.11727025656649817,0.17990074971623984,0.17990074791723237
3,0.5,FedNova,0.11563602817517056,0.1780264963893639,0.17802649460909897
1,1.0,FedNova,0.11653800176153581,0.1797376857272983,0.19963772661555765
2,1.0,FedNova,0.13070970712933352,0.19505170975116068,0.2950826847646969
3,1.0,FedNova,0.11585083900106585,0.17858988257869285,0.17858988079279406
