alpha,client,loss,mae,rmse,nrmse,algorithm,round
0.3,Client_1,0.0012724234256893396,0.016336344182491302,0.03567104786634445,0.05128379166126251,FedAvg,1
0.3,Client_3,0.0010455879382789135,0.015374635346233845,0.0323355495929718,0.0594976544380188,FedAvg,1
0.3,Client_2,0.0009881274309009314,0.015077239833772182,0.031434495002031326,0.05180804058909416,FedAvg,1
0.3,Client_3,0.0009024081518873572,0.013845857232809067,0.030040107667446136,0.05527402460575104,FedAvg,2
0.3,Client_2,0.000775274180341512,0.013236419297754765,0.027843745425343513,0.04589002951979637,FedAvg,2
0.3,Client_1,0.0010633348720148206,0.014661014080047607,0.03260881453752518,0.046881258487701416,FedAvg,2
0.3,Client_1,0.0010410929098725319,0.015088030137121677,0.03226597234606743,0.04638836160302162,FedAvg,3
0.3,Client_3,0.0008813404710963368,0.014274426735937595,0.02968737855553627,0.054625000804662704,FedAvg,3
0.3,Client_2,0.0007621462573297322,0.013670227490365505,0.02760699763894081,0.04549983888864517,FedAvg,3
0.3,Client_3,0.000883659755345434,0.014680152758955956,0.029726414009928703,0.05469682440161705,FedAvg,4
0.3,Client_1,0.0010400485480204225,0.015426537953317165,0.03224978223443031,0.04636508226394653,FedAvg,4
0.3,Client_2,0.0007710086647421122,0.014021222479641438,0.027767043560743332,0.045763615518808365,FedAvg,4
0.3,Client_3,0.0009480295120738447,0.014385378919541836,0.030790088698267937,0.05665399506688118,FedAvg,5
0.3,Client_2,0.0008514162036590278,0.013817306607961655,0.029179036617279053,0.04809075966477394,FedAvg,5
0.3,Client_1,0.0011102758580818772,0.01525873877108097,0.03332080319523811,0.04790487512946129,FedAvg,5
0.3,Client_1,0.0010630652541294694,0.015132127329707146,0.03260468319058418,0.04687532037496567,FedAvg,6
0.3,Client_2,0.0007650131010450423,0.013465195894241333,0.027658870443701744,0.045585330575704575,FedAvg,6
0.3,Client_3,0.0008965768502093852,0.014335932210087776,0.029942892491817474,0.05509514734148979,FedAvg,6
0.3,Client_3,0.0008814618922770023,0.014185803011059761,0.029689423739910126,0.05462876334786415,FedAvg,7
0.3,Client_2,0.0007700531859882176,0.01353583112359047,0.027749832719564438,0.04573524743318558,FedAvg,7
0.3,Client_1,0.001035613939166069,0.014965374022722244,0.03218095749616623,0.046266134828329086,FedAvg,7
0.3,Client_3,0.0008716516895219684,0.01400862354785204,0.02952374704182148,0.054323915392160416,FedAvg,8
0.3,Client_2,0.0007349051302298903,0.013131828978657722,0.027109133079648018,0.044679295271635056,FedAvg,8
0.3,Client_1,0.001023055985569954,0.01475767232477665,0.031985245645046234,0.04598476365208626,FedAvg,8
0.3,Client_3,0.0009002723381854594,0.014505763538181782,0.030004538595676422,0.05520857498049736,FedAvg,9
0.3,Client_1,0.00104625360108912,0.015268368646502495,0.03234584257006645,0.04650318995118141,FedAvg,9
0.3,Client_2,0.0007918485207483172,0.013863774947822094,0.028139803558588028,0.04637797176837921,FedAvg,9
0.3,Client_1,0.0010232314234599471,0.015935463830828667,0.0319879874587059,0.04598870500922203,FedAvg,10
0.3,Client_3,0.0008769184933044016,0.015303772874176502,0.029612809419631958,0.054487790912389755,FedAvg,10
0.3,Client_2,0.0007519603823311627,0.014516743831336498,0.027421897277235985,0.04519477114081383,FedAvg,10
0.3,Client_1,0.0010442592902109027,0.014727633446455002,0.032315000891685486,0.04645884782075882,FedAvg,11
0.3,Client_3,0.0008964922744780779,0.013960635289549828,0.029941480606794357,0.055092547088861465,FedAvg,11
0.3,Client_2,0.0007718285196460783,0.013185434974730015,0.02778180129826069,0.04578793793916702,FedAvg,11
0.3,Client_3,0.000873386103194207,0.013857722282409668,0.029553106054663658,0.05437793582677841,FedAvg,12
0.3,Client_2,0.0007374520064331591,0.013039135374128819,0.02715606801211834,0.04475665092468262,FedAvg,12
0.3,Client_1,0.0010193390771746635,0.014600259251892567,0.03192708641290665,0.04590114951133728,FedAvg,12
0.3,Client_1,0.001016860012896359,0.014429629780352116,0.031888242810964584,0.04584530368447304,FedAvg,13
0.3,Client_2,0.0007214805809780955,0.012726159766316414,0.026860389858484268,0.04426933452486992,FedAvg,13
0.3,Client_3,0.0008633574470877647,0.013716932386159897,0.029382944107055664,0.05406483635306358,FedAvg,13
0.3,Client_1,0.0010093156015500426,0.014549405314028263,0.03176972642540932,0.04567491263151169,FedAvg,14
0.3,Client_3,0.0008596850675530732,0.013870025053620338,0.029320387169718742,0.05394973233342171,FedAvg,14
0.3,Client_2,0.0007288272026926279,0.012920517474412918,0.026996800675988197,0.044494155794382095,FedAvg,14
0.3,Client_3,0.000866986345499754,0.014346062205731869,0.029444633051753044,0.05417834594845772,FedAvg,15
0.3,Client_2,0.000736062356736511,0.013515612110495567,0.02713046781718731,0.04471445828676224,FedAvg,15
0.3,Client_1,0.0010082708904519677,0.015026306733489037,0.031753282994031906,0.04565127193927765,FedAvg,15
0.3,Client_1,0.0010380219900980592,0.015821876004338264,0.03221834823489189,0.04631989076733589,FedAvg,16
0.3,Client_3,0.0008933087810873985,0.015258350409567356,0.029888272285461426,0.054994646459817886,FedAvg,16
0.3,Client_2,0.0007335242116823792,0.014082826673984528,0.02708365209400654,0.044637300074100494,FedAvg,16
0.3,Client_1,0.0010062677320092916,0.014922689646482468,0.03172172233462334,0.04560589790344238,FedAvg,17
0.3,Client_2,0.0007241533603519201,0.013294405303895473,0.026910098269581795,0.04435126110911369,FedAvg,17
0.3,Client_3,0.000865749956574291,0.014248060062527657,0.029423629865050316,0.054139699786901474,FedAvg,17
0.3,Client_1,0.0010109366849064827,0.014614786952733994,0.03179522976279259,0.04571158066391945,FedAvg,18
0.3,Client_2,0.0007268929039128125,0.012997832149267197,0.0269609522074461,0.04443507269024849,FedAvg,18
0.3,Client_3,0.0008650124655105174,0.013905582018196583,0.02941109612584114,0.054116636514663696,FedAvg,18
0.3,Client_3,0.000863894762005657,0.014289993792772293,0.02939208596944809,0.05408165976405144,FedAvg,19
0.3,Client_2,0.0007250242633745074,0.013354870490729809,0.026926275342702866,0.044377923011779785,FedAvg,19
0.3,Client_1,0.0010093660093843937,0.01496958639472723,0.03177051991224289,0.045676056295633316,FedAvg,19
0.3,Client_3,0.0008660369785502553,0.01369475293904543,0.02942850813269615,0.05414867401123047,FedAvg,20
0.3,Client_2,0.0007205274305306375,0.01260419748723507,0.026842642575502396,0.044240083545446396,FedAvg,20
0.3,Client_1,0.0010200341930612922,0.014392998069524765,0.03193797171115875,0.04591679945588112,FedAvg,20
0.3,Client_3,0.0008636370184831321,0.014252112247049809,0.0293877013027668,0.05407359078526497,FedAvg,21
0.3,Client_1,0.0010053517762571573,0.014867418445646763,0.0317072831094265,0.04558514058589935,FedAvg,21
0.3,Client_2,0.0007223139982670546,0.013185571879148483,0.026875900104641914,0.044294897466897964,FedAvg,21
0.3,Client_1,0.0010122189996764064,0.01454521156847477,0.03181539103388786,0.04574056342244148,FedAvg,22
0.3,Client_2,0.0007177864317782223,0.012814627029001713,0.026791537180542946,0.04415585473179817,FedAvg,22
0.3,Client_3,0.0008601510780863464,0.013834059238433838,0.02932833507657051,0.05396435782313347,FedAvg,22
0.3,Client_1,0.001013238332234323,0.0144615788012743,0.03183140605688095,0.045763589441776276,FedAvg,23
0.3,Client_3,0.000861141481436789,0.013765835203230381,0.029345212504267693,0.05399541184306145,FedAvg,23
0.3,Client_2,0.0007250358466990292,0.012712862342596054,0.026926489546895027,0.04437827318906784,FedAvg,23
0.3,Client_3,0.0008573926752433181,0.013996698893606663,0.029281267896294594,0.053877752274274826,FedAvg,24
0.3,Client_1,0.001017112866975367,0.014688900671899319,0.03189220651984215,0.045851003378629684,FedAvg,24
0.3,Client_2,0.0007202933775261045,0.01300738099962473,0.026838282123208046,0.04423289746046066,FedAvg,24
0.3,Client_3,0.0008704947540536523,0.014782200567424297,0.02950414828956127,0.054287854582071304,FedAvg,25
0.3,Client_1,0.0010228363098576665,0.015508587472140789,0.03198181092739105,0.0459798239171505,FedAvg,25
0.3,Client_2,0.0007512507727369666,0.014013526029884815,0.02740895375609398,0.045173436403274536,FedAvg,25
0.3,Client_1,0.0010146438144147396,0.014817580580711365,0.03185347467660904,0.045795317739248276,FedAvg,26
0.3,Client_2,0.000727740116417408,0.013194156810641289,0.026976658031344414,0.0444609597325325,FedAvg,26
0.3,Client_3,0.000854969781357795,0.01407770998775959,0.029239865019917488,0.05380157008767128,FedAvg,26
0.3,Client_1,0.0010246805613860488,0.014892783015966415,0.03201063349843025,0.04602126404643059,FedAvg,27
0.3,Client_3,0.0008552246144972742,0.014158273115754128,0.02924422360956669,0.05380959063768387,FedAvg,27
0.3,Client_2,0.0007276887190528214,0.013241520151495934,0.026975706219673157,0.04445939138531685,FedAvg,27
0.3,Client_3,0.0008539059199392796,0.01405581459403038,0.02922166883945465,0.053768090903759,FedAvg,28
0.3,Client_1,0.00101001828443259,0.014799394644796848,0.03178078308701515,0.045690808445215225,FedAvg,28
0.3,Client_2,0.0007519457140006125,0.013316560536623001,0.027421629056334496,0.04519432783126831,FedAvg,28
0.3,Client_1,0.0010408913949504495,0.014368647709488869,0.03226284682750702,0.04638386517763138,FedAvg,29
0.3,Client_3,0.0008581061847507954,0.013571279123425484,0.029293449595570564,0.05390016734600067,FedAvg,29
0.3,Client_2,0.000740676827263087,0.012603974901139736,0.02721537835896015,0.04485439881682396,FedAvg,29
0.3,Client_1,0.001102750189602375,0.01456406805664301,0.03320768475532532,0.047742247581481934,FedAvg,30
0.3,Client_3,0.0008655917481519282,0.013684205710887909,0.029420940205454826,0.05413474887609482,FedAvg,30
0.3,Client_2,0.0007284061284735799,0.012614713050425053,0.026988999918103218,0.0444812998175621,FedAvg,30
